"title","year","rating","votes","runtime","genre"
"The Wizard of Oz",1939,8.1,208759,102,"Adventure"
"Singin' in the Rain",1952,8.4,108083,103,"Comedy"
"Seven Samurai",1954,8.8,172933,207,"Action"
"The Bridge on the River Kwai",1957,8.3,110134,161,"Adventure"
"Ben-Hur",1959,8.2,115368,212,"Adventure"
"North by Northwest",1959,8.5,165993,136,"Action"
"Some Like It Hot",1959,8.4,130010,120,"Comedy"
"Lawrence of Arabia",1962,8.4,140500,216,"Adventure"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,8.6,263464,95,"Comedy"
"Goldfinger",1964,7.8,110105,110,"Action"
"The Good, the Bad and the Ugly",1966,9,355063,161,"Adventure"
"The Graduate",1967,8.1,161971,106,"Comedy"
"2001: A Space Odyssey",1968,8.3,294983,160,"Adventure"
"Planet of the Apes",1968,8,109646,112,"Adventure"
"Butch Cassidy and the Sundance Kid",1969,8.2,111062,110,"Adventure"
"Once Upon a Time in the West",1968,8.7,156656,175,"Adventure"
"The Sting",1973,8.4,127707,129,"Comedy"
"Monty Python and the Holy Grail",1975,8.4,284261,91,"Adventure"
"Jaws",1975,8.1,290173,124,"Adventure"
"Annie Hall",1977,8.2,138710,93,"Comedy"
"Close Encounters of the Third Kind",1977,7.7,109786,137,"Adventure"
"Star Wars: Episode IV - A New Hope",1977,8.7,633482,121,"Action"
"Life of Brian",1979,8.2,198588,94,"Comedy"
"Airplane!",1980,7.8,121941,88,"Comedy"
"The Blues Brothers",1980,8,110332,133,"Action"
"Star Wars: Episode V - The Empire Strikes Back",1980,8.8,565009,124,"Action"
"Das Boot",1981,8.5,126994,149,"Action"
"Raiders of the Lost Ark",1981,8.6,471716,115,"Action"
"E.T. the Extra-Terrestrial",1982,7.9,218846,115,"Adventure"
"First Blood",1982,7.6,134361,93,"Action"
"Star Wars: Episode VI - Return of the Jedi",1983,8.4,441741,134,"Action"
"Ghostbusters",1984,7.8,194518,105,"Comedy"
"Gremlins",1984,7.2,101827,106,"Comedy"
"Indiana Jones and the Temple of Doom",1984,7.6,228887,118,"Action"
"The Terminator",1984,8.1,413023,107,"Action"
"Back to the Future",1985,8.5,480044,116,"Adventure"
"The Breakfast Club",1985,7.9,184470,97,"Comedy"
"The Goonies",1985,7.8,132714,114,"Adventure"
"Aliens",1986,8.5,353331,137,"Action"
"Ferris Bueller's Day Off",1986,7.9,188023,103,"Comedy"
"Platoon",1986,8.2,217637,120,"Action"
"Stand by Me",1986,8.2,198547,89,"Adventure"
"Top Gun",1986,6.8,166022,110,"Action"
"Lethal Weapon",1987,7.6,153833,110,"Action"
"Predator",1987,7.9,222991,107,"Action"
"The Princess Bride",1987,8.2,223131,98,"Adventure"
"RoboCop",1987,7.5,132804,102,"Action"
"Spaceballs",1987,7.1,105340,96,"Adventure"
"Beetlejuice",1988,7.4,138783,92,"Comedy"
"Big",1988,7.3,115561,104,"Comedy"
"Die Hard",1988,8.3,431784,131,"Action"
"My Neighbor Totoro",1988,8.3,101476,86,"Animation"
"Who Framed Roger Rabbit",1988,7.7,105875,104,"Animation"
"The Abyss",1989,7.6,106501,139,"Adventure"
"Back to the Future Part II",1989,7.8,220721,108,"Adventure"
"Batman",1989,7.6,209080,126,"Action"
"Ghostbusters II",1989,6.5,100209,108,"Action"
"Indiana Jones and the Last Crusade",1989,8.3,364028,127,"Action"
"The Little Mermaid",1989,7.6,110118,83,"Animation"
"When Harry Met Sally...",1989,7.6,118500,96,"Comedy"
"Back to the Future Part III",1990,7.4,182749,118,"Adventure"
"Dances with Wolves",1990,8,143462,181,"Adventure"
"Die Hard 2",1990,7.1,205192,124,"Action"
"Home Alone",1990,7.4,212728,103,"Comedy"
"The Hunt for Red October",1990,7.6,116660,134,"Action"
"Pretty Woman",1990,6.9,156340,119,"Comedy"
"Total Recall",1990,7.5,186250,113,"Action"
"Beauty and the Beast",1991,8.1,208513,84,"Animation"
"Hook",1991,6.6,137257,144,"Adventure"
"Robin Hood: Prince of Thieves",1991,6.9,117561,143,"Action"
"Terminator 2: Judgment Day",1991,8.5,523190,137,"Action"
"Alien³",1992,6.4,153592,114,"Action"
"Batman Returns",1992,7,163620,126,"Action"
"Home Alone 2: Lost in New York",1992,6.4,132595,120,"Adventure"
"Lethal Weapon 3",1992,6.7,103140,118,"Action"
"Army of Darkness",1992,7.6,100971,81,"Comedy"
"The Fugitive",1993,7.8,175786,130,"Action"
"Groundhog Day",1993,8.1,309100,101,"Comedy"
"Jurassic Park",1993,8,373499,127,"Adventure"
"Mrs. Doubtfire",1993,6.8,124978,125,"Comedy"
"The Nightmare Before Christmas",1993,8.1,175067,76,"Animation"
"Ace Ventura: Pet Detective",1994,6.9,157869,86,"Comedy"
"Clerks.",1994,7.9,153365,92,"Comedy"
"The Crow",1994,7.6,111499,102,"Action"
"Dumb & Dumber",1994,7.3,216305,107,"Comedy"
"The Lion King",1994,8.5,405912,89,"Animation"
"The Mask",1994,6.8,186368,101,"Comedy"
"Speed",1994,7.2,205061,116,"Action"
"Stargate",1994,7,123488,121,"Action"
"True Lies",1994,7.2,150049,141,"Action"
"Ace Ventura: When Nature Calls",1995,6.2,117598,90,"Comedy"
"Apollo 13",1995,7.6,164684,140,"Adventure"
"Bad Boys",1995,6.8,125143,118,"Action"
"Batman Forever",1995,5.4,149277,121,"Action"
"Braveheart",1995,8.4,525145,177,"Action"
"Desperado",1995,7.2,109163,104,"Action"
"Die Hard: With a Vengeance",1995,7.6,232763,131,"Action"
"GoldenEye",1995,7.2,158232,130,"Action"
"Heat",1995,8.3,323754,170,"Action"
"Jumanji",1995,6.7,135034,104,"Adventure"
"Toy Story",1995,8.3,409668,81,"Animation"
"Waterworld",1995,6,114219,135,"Action"
"From Dusk Till Dawn",1996,7.3,164022,108,"Action"
"Happy Gilmore",1996,7,114980,92,"Comedy"
"Independence Day",1996,6.9,326834,145,"Action"
"Jerry Maguire",1996,7.3,146862,139,"Comedy"
"Mars Attacks!",1996,6.3,137730,106,"Comedy"
"Mission: Impossible",1996,7,217631,110,"Action"
"The Rock",1996,7.4,214355,136,"Action"
"Twister",1996,6.2,120055,113,"Action"
"Air Force One",1997,6.4,117900,124,"Action"
"Alien: Resurrection",1997,6.3,126907,109,"Action"
"Austin Powers: International Man of Mystery",1997,7,146879,89,"Comedy"
"Batman & Robin",1997,3.6,150316,125,"Action"
"The Big Lebowski",1998,8.2,381537,117,"Comedy"
"Life Is Beautiful",1997,8.6,267087,116,"Comedy"
"Con Air",1997,6.8,178495,115,"Action"
"Face/Off",1997,7.3,223669,138,"Action"
"The Fifth Element",1997,7.6,261202,126,"Action"
"Liar Liar",1997,6.8,158903,86,"Comedy"
"The Lost World: Jurassic Park",1997,6.4,187100,129,"Action"
"Men in Black",1997,7.2,292609,98,"Comedy"
"Princess Mononoke",1997,8.5,150213,134,"Animation"
"As Good as It Gets",1997,7.8,189502,139,"Comedy"
"Three Kings",1999,7.2,116354,114,"Action"
"Starship Troopers",1997,7.2,179573,129,"Action"
"Tomorrow Never Dies",1997,6.4,116800,119,"Action"
"Toy Story 2",1999,7.9,276867,92,"Animation"
"The Truman Show",1998,8,457199,103,"Comedy"
"Armageddon",1998,6.6,252343,151,"Action"
"Being John Malkovich",1999,7.8,207820,112,"Comedy"
"Blade",1998,7.1,144929,120,"Action"
"The Mummy",1999,7,251958,125,"Action"
"A Bug's Life",1998,7.2,159524,95,"Animation"
"Chicken Run",2000,7.1,107470,84,"Animation"
"Deep Impact",1998,6.1,113121,120,"Action"
"Dogma",1999,7.4,154732,130,"Adventure"
"Enemy of the State",1998,7.3,153279,132,"Action"
"Fantastic Four",2005,5.7,199059,106,"Action"
"Fear and Loathing in Las Vegas",1998,7.8,171879,118,"Comedy"
"Godzilla",1998,5.2,120832,139,"Action"
"Lock, Stock and Two Smoking Barrels",1998,8.2,303829,107,"Comedy"
"The Lord of the Rings: The Fellowship of the Ring",2001,8.9,870253,178,"Action"
"The Mask of Zorro",1998,6.7,107542,136,"Action"
"Mulan",1998,7.5,108134,88,"Animation"
"Resident Evil",2002,6.7,159865,100,"Action"
"Rush Hour",1998,6.9,142643,98,"Action"
"Saving Private Ryan",1998,8.6,596960,169,"Action"
"Wild Wild West",1999,4.7,108272,106,"Action"
"X-Men",2000,7.4,307750,104,"Action"
"Men in Black II",2002,6,186510,88,"Action"
"Corpse Bride",2005,7.4,136511,77,"Animation"
"Star Wars: Episode II - Attack of the Clones",2002,6.8,323973,142,"Action"
"Star Wars: Episode III - Revenge of the Sith",2005,7.7,360711,140,"Action"
"Lethal Weapon 4",1998,6.6,104551,127,"Action"
"Ronin",1998,7.3,123989,122,"Action"
"Analyze This",1999,6.7,104010,103,"Comedy"
"Notting Hill",1999,7,152034,124,"Comedy"
"Shrek",2001,7.9,340044,90,"Animation"
"Rushmore",1998,7.8,102686,93,"Comedy"
"You've Got Mail",1998,6.5,118484,119,"Comedy"
"Run Lola Run",1998,7.8,138797,80,"Action"
"The Matrix",1999,8.7,836596,136,"Action"
"Planet of the Apes",2001,5.7,143608,119,"Action"
"Pitch Black",2000,7.1,158680,109,"Action"
"Shakespeare in Love",1998,7.2,142233,123,"Comedy"
"Big Daddy",1999,6.4,121887,93,"Comedy"
"The Boondock Saints",1999,7.9,171296,108,"Action"
"Austin Powers: The Spy Who Shagged Me",1999,6.6,147827,95,"Action"
"Lara Croft: Tomb Raider",2001,5.7,122293,100,"Action"
"High Fidelity",2000,7.6,118541,113,"Comedy"
"10 Things I Hate About You",1999,7.2,162494,97,"Comedy"
"Office Space",1999,7.9,162583,89,"Comedy"
"South Park: Bigger Longer & Uncut",1999,7.8,129575,81,"Animation"
"Charlie's Angels",2000,5.5,121540,98,"Action"
"Cast Away",2000,7.7,282499,143,"Adventure"
"Jurassic Park III",2001,5.9,148552,92,"Action"
"American Pie",1999,7,253141,95,"Comedy"
"The Beach",2000,6.6,130952,119,"Adventure"
"Hellboy",2004,6.8,193137,122,"Action"
"The Lord of the Rings: The Return of the King",2003,8.9,840207,201,"Action"
"The Lord of the Rings: The Two Towers",2002,8.8,755913,179,"Action"
"How the Grinch Stole Christmas",2000,5.9,103715,104,"Comedy"
"Bad Boys II",2003,6.5,138299,147,"Action"
"Gladiator",2000,8.5,660343,155,"Action"
"Scary Movie",2000,6.2,147726,88,"Comedy"
"Galaxy Quest",1999,7.3,101046,102,"Adventure"
"Minority Report",2002,7.7,306762,145,"Action"
"Terminator 3: Rise of the Machines",2003,6.4,226497,109,"Action"
"Me, Myself & Irene",2000,6.5,148136,116,"Comedy"
"A Knight's Tale",2001,6.9,109282,132,"Action"
"Gone in Sixty Seconds",2000,6.4,173209,118,"Action"
"The Patriot",2000,7.1,162211,165,"Action"
"Blade II",2002,6.7,119763,117,"Action"
"Crouching Tiger, Hidden Dragon",2000,7.9,187749,120,"Action"
"O Brother, Where Art Thou?",2000,7.8,175313,106,"Comedy"
"Zoolander",2001,6.6,146343,89,"Comedy"
"Monsters, Inc.",2001,8.1,374709,92,"Animation"
"What Women Want",2000,6.4,126978,127,"Comedy"
"Snatch.",2000,8.4,432274,102,"Comedy"
"The Mummy Returns",2001,6.3,197735,130,"Action"
"Amélie",2001,8.5,381795,122,"Comedy"
"Meet the Parents",2000,7,206645,108,"Comedy"
"Miss Congeniality",2000,6.1,101504,109,"Action"
"A.I. Artificial Intelligence",2001,7.1,190165,146,"Adventure"
"Pearl Harbor",2001,5.9,193956,183,"Action"
"Road Trip",2000,6.5,107578,93,"Adventure"
"The Fast and the Furious",2001,6.5,187877,106,"Action"
"The Matrix Reloaded",2003,7.2,332152,138,"Action"
"Equilibrium",2002,7.6,209008,107,"Action"
"Harry Potter and the Sorcerer's Stone",2001,7.4,324946,152,"Adventure"
"The Matrix Revolutions",2003,6.7,287262,129,"Action"
"Bridget Jones's Diary",2001,6.7,128121,97,"Comedy"
"Swordfish",2001,6.5,133134,99,"Action"
"Spirited Away",2001,8.6,272880,125,"Animation"
"Die Another Day",2002,6.1,132480,133,"Action"
"How to Lose a Guy in 10 Days",2003,6.3,107498,116,"Comedy"
"American Pie 2",2001,6.4,158631,108,"Comedy"
"S.W.A.T.",2003,6,100303,117,"Action"
"The Bourne Identity",2002,7.9,299565,119,"Action"
"Ghost Rider",2007,5.2,139066,114,"Action"
"Jay and Silent Bob Strike Back",2001,6.9,109863,104,"Comedy"
"The Girl Next Door",2004,6.8,141333,108,"Comedy"
"The Royal Tenenbaums",2001,7.6,160053,110,"Comedy"
"Battle Royale",2000,7.8,113063,114,"Adventure"
"Finding Nemo",2003,8.2,450974,100,"Animation"
"Kill Bill: Vol. 1",2003,8.2,506053,111,"Action"
"Rush Hour 2",2001,6.5,125336,90,"Action"
"Spy Game",2001,7,100852,126,"Action"
"Adaptation.",2002,7.8,117234,114,"Comedy"
"Ice Age",2002,7.6,232009,81,"Animation"
"About a Boy",2002,7.1,118731,101,"Comedy"
"Once Upon a Time in Mexico",2003,6.4,106116,102,"Action"
"Hulk",2003,5.7,162740,138,"Action"
"Daredevil",2003,5.4,133471,103,"Action"
"Meet the Fockers",2004,6.3,167275,115,"Comedy"
"X-Men 2",2003,7.5,283394,133,"Action"
"The Transporter",2002,6.8,179541,92,"Action"
"Austin Powers in Goldmember",2002,6.2,132448,94,"Action"
"Harry Potter and the Chamber of Secrets",2002,7.3,284412,161,"Adventure"
"xXx",2002,5.8,116673,124,"Action"
"The Chronicles of Riddick",2004,6.7,149184,119,"Action"
"Shrek 2",2004,7.3,226472,93,"Animation"
"Chicago",2002,7.2,138736,113,"Comedy"
"Old School",2003,7.2,158258,91,"Comedy"
"Harry Potter and the Prisoner of Azkaban",2004,7.8,279347,142,"Adventure"
"Anger Management",2003,6.2,141065,106,"Comedy"
"Shark Tale",2004,6,102558,90,"Animation"
"Master and Commander: The Far Side of the World",2003,7.4,140120,138,"Action"
"The League of Extraordinary Gentlemen",2003,5.8,108276,110,"Action"
"Love Actually",2003,7.7,244505,135,"Comedy"
"Bruce Almighty",2003,6.7,217140,101,"Comedy"
"Spider-Man 2",2004,7.4,275224,127,"Action"
"Cars",2006,7.3,168841,117,"Animation"
"The Italian Job",2003,7,224597,111,"Action"
"Mission: Impossible III",2006,6.8,184806,126,"Action"
"Resident Evil: Apocalypse",2004,6.1,122823,94,"Action"
"Big Fish",2003,8,295867,125,"Adventure"
"The Day After Tomorrow",2004,6.4,245978,124,"Action"
"Elf",2003,6.9,109149,97,"Comedy"
"Kingdom of Heaven",2005,7.2,164908,144,"Action"
"Underworld",2003,7,163653,121,"Action"
"2 Fast 2 Furious",2003,5.6,124488,107,"Action"
"The Last Samurai",2003,7.7,241419,154,"Action"
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,8.1,571506,143,"Action"
"Coraline",2009,7.7,110199,100,"Animation"
"Man on Fire",2004,7.8,205437,146,"Action"
"American Wedding",2003,6.2,128245,96,"Comedy"
"Harry Potter and the Goblet of Fire",2005,7.6,284052,157,"Adventure"
"School of Rock",2003,7.1,155951,108,"Comedy"
"Troy",2004,7.2,274525,163,"Adventure"
"Garden State",2004,7.7,164838,102,"Comedy"
"Starsky & Hutch",2004,6.1,101718,101,"Comedy"
"Live Free or Die Hard",2007,7.3,278271,128,"Action"
"Lemony Snicket's A Series of Unfortunate Events",2004,6.8,124794,108,"Adventure"
"50 First Dates",2004,6.8,202178,99,"Comedy"
"Alexander",2004,5.5,114519,175,"Action"
"Howl's Moving Castle",2004,8.2,136153,119,"Animation"
"Superman Returns",2006,6.2,205733,154,"Action"
"King Arthur",2004,6.3,107097,126,"Action"
"Madagascar",2005,6.9,182984,86,"Animation"
"Mr. & Mrs. Smith",2005,6.4,236374,120,"Action"
"Anchorman: The Legend of Ron Burgundy",2004,7.3,195798,94,"Comedy"
